Type;Cubby Number;Cover Barcode;Sheet Type;Color;Sheet Barcode;Garbage;Date Created;Path JPG;
Cubby;Cubby_010068;Folder-FI-HCI-0021661;;;;;2024:04:02 13:46:20.634;/Volumes/pixel/Production/2024/04/02/CP1/Cubby_010068.tif;
Folder;Cubby_010068;Folder-FI-HCI-0021662;;;;;2024:04:02 13:46:25.101;/Volumes/pixel/Production/2024/04/02/CP1/Folder-FI-HCI-0021662.tif;
Sheet;Cubby_010068;Folder-FI-HCI-0021662;;;FI-HCI-00034059;;2024:04:02 13:46:29.733;/Volumes/pixel/Production/2024/04/02/CP1/FI-HCI-00034059.tif;
Folder;Cubby_010068;Folder-FI-HCI-0021663;;;;;2024:04:02 13:46:34.184;/Volumes/pixel/Production/2024/04/02/CP1/Folder-FI-HCI-0021663.tif;
Sheet;Cubby_010068;Folder-FI-HCI-0021663;;;FI-HCI-00034060;;2024:04:02 13:46:38.764;/Volumes/pixel/Production/2024/04/02/CP1/FI-HCI-00034060.tif;
Folder;Cubby_010068;Folder-FI-HCI-0021664;;;;;2024:04:02 13:46:43.404;/Volumes/pixel/Production/2024/04/02/CP1/Folder-FI-HCI-0021664.tif;
Sheet;Cubby_010068;Folder-FI-HCI-0021664;;;FI-HCI-00034061;;2024:04:02 13:46:50.411;/Volumes/pixel/Production/2024/04/02/CP1/FI-HCI-00034061.tif;
Sheet;Cubby_010068;Folder-FI-HCI-0021664;;;FI-HCI-00034062;;2024:04:02 13:47:10.005;/Volumes/pixel/Production/2024/04/02/CP1/FI-HCI-00034062.tif;
Sheet;Cubby_010068;Folder-FI-HCI-0021664;;;FI-HCI-00034063;;2024:04:02 13:47:14.550;/Volumes/pixel/Production/2024/04/02/CP1/FI-HCI-00034063.tif;
Sheet;Cubby_010068;Folder-FI-HCI-0021664;;;FI-HCI-00034064;;2024:04:02 13:47:19.153;/Volumes/pixel/Production/2024/04/02/CP1/FI-HCI-00034064.tif;
Sheet;Cubby_010068;Folder-FI-HCI-0021664;;;FI-HCI-00034065;;2024:04:02 13:47:23.724;/Volumes/pixel/Production/2024/04/02/CP1/FI-HCI-00034065.tif;
