"FILE","BATCH.SHEET.TYPE","BATCH.COLOR","BATCH.SHEET.BARCODE","BATCH.CONNECTIONS","BATCH.SHEET.ORIGINAL.BARCODE"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00440296","FI055643","FI-HCI-00440296"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441262","FI076204","FI-HCI-00441262"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441263","FI076203","FI-HCI-00441263"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441264","FI076202","FI-HCI-00441264"
"data/Connection/CP1_20240604_BATCH_0001.csv","Do_not_transcribe","Red","FI-HCI-00441375","","FI-HCI-00441375"
"data/Connection/CP1_20240604_BATCH_0001.csv","Do_not_transcribe","Red","FI-HCI-00441376","","FI-HCI-00441376"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441428","FI054637","FI-HCI-00441428"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441534","FI078134","FI-HCI-00441534"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441535","FI078133|FI-HCI-00441536","FI-HCI-00441535"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441537","FI078132","FI-HCI-00441537"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441538","FI078131","FI-HCI-00441538"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441539","","FI-HCI-00441539"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441540","FI078130","FI-HCI-00441540"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441631","FI077865","FI-HCI-00441631"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441632","FI077866","FI-HCI-00441632"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441633","FI077867","FI-HCI-00441633"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441634","","FI-HCI-00441634"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441635","FI077868","FI-HCI-00441635"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441636","FI077869","FI-HCI-00441636"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441637","","FI-HCI-00441637"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441638","FI077870","FI-HCI-00441638"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441639","FI077871","FI-HCI-00441639"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441640","FI077872","FI-HCI-00441640"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441641","","FI-HCI-00441641"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441642","FI077873","FI-HCI-00441642"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441643","FI077864","FI-HCI-00441643"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441644","FI077863","FI-HCI-00441644"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441645","FI077862","FI-HCI-00441645"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441646","","FI-HCI-00441646"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441647","","FI-HCI-00441647"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441648","","FI-HCI-00441648"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441649","FI077861","FI-HCI-00441649"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441650","FI077860","FI-HCI-00441650"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441651","FI077859","FI-HCI-00441651"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441652","FI077858","FI-HCI-00441652"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441653","FI077857","FI-HCI-00441653"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441654","FI077856|FI-HCI-00441655","FI-HCI-00441654"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441656","FI077886","FI-HCI-00441656"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441657","FI077885","FI-HCI-00441657"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441658","FI077883","FI-HCI-00441658"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441659","FI077884","FI-HCI-00441659"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441660","FI077882","FI-HCI-00441660"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441661","FI077881","FI-HCI-00441661"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441662","FI077880","FI-HCI-00441662"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441663","FI077879","FI-HCI-00441663"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441664","FI077878","FI-HCI-00441664"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441665","FI077877","FI-HCI-00441665"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441666","FI077876","FI-HCI-00441666"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441667","FI077875","FI-HCI-00441667"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441668","FI077874","FI-HCI-00441668"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441669","FI078107","FI-HCI-00441669"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441670","FI078106","FI-HCI-00441670"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441671","FI078105","FI-HCI-00441671"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441672","FI078104","FI-HCI-00441672"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441673","FI078103","FI-HCI-00441673"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441674","FI078102","FI-HCI-00441674"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441675","FI078101","FI-HCI-00441675"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441676","FI077900","FI-HCI-00441676"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441677","FI077899","FI-HCI-00441677"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441678","FI077898","FI-HCI-00441678"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441679","FI077897","FI-HCI-00441679"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441680","FI077896","FI-HCI-00441680"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441681","FI077895","FI-HCI-00441681"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441682","FI077894","FI-HCI-00441682"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441683","FI077893","FI-HCI-00441683"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441684","FI077892","FI-HCI-00441684"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441685","FI077891","FI-HCI-00441685"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441686","FI077890","FI-HCI-00441686"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441687","FI077889","FI-HCI-00441687"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441688","FI077888","FI-HCI-00441688"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441689","FI077887","FI-HCI-00441689"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441690","FI078129","FI-HCI-00441690"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441691","FI078128","FI-HCI-00441691"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441692","FI078126","FI-HCI-00441692"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441693","FI078127","FI-HCI-00441693"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441694","FI078125","FI-HCI-00441694"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441695","FI078124","FI-HCI-00441695"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441696","FI078123","FI-HCI-00441696"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441697","FI078122","FI-HCI-00441697"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441698","FI078121","FI-HCI-00441698"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441699","FI078120","FI-HCI-00441699"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441701","FI078119","FI-HCI-00441701"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441702","FI078118","FI-HCI-00441702"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441703","FI078117","FI-HCI-00441703"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441704","FI078116","FI-HCI-00441704"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441705","FI078115","FI-HCI-00441705"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441706","FI078114","FI-HCI-00441706"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441707","FI078113","FI-HCI-00441707"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441708","FI078112","FI-HCI-00441708"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441709","FI078111","FI-HCI-00441709"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441710","FI078110","FI-HCI-00441710"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441711","FI078109","FI-HCI-00441711"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441712","FI078108","FI-HCI-00441712"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441736","FI078158","FI-HCI-00441736"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441737","FI078157|FI-HCI-00441738","FI-HCI-00441737"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441739","FI078156","FI-HCI-00441739"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441740","FI078155","FI-HCI-00441740"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441741","FI078154","FI-HCI-00441741"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441742","FI078153|FI-HCI-00441743","FI-HCI-00441742"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441744","FI078152|FI-HCI-00441745","FI-HCI-00441744"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441746","FI078151|FI-HCI-00441747","FI-HCI-00441746"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441748","FI078150|FI-HCI-00441749","FI-HCI-00441748"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441750","FI078149|FI-HCI-00441751","FI-HCI-00441750"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441752","FI078148","FI-HCI-00441752"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441753","FI078147","FI-HCI-00441753"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441754","FI078146","FI-HCI-00441754"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441755","FI078145","FI-HCI-00441755"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441756","FI078144","FI-HCI-00441756"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441757","FI078143","FI-HCI-00441757"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441758","FI078142","FI-HCI-00441758"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441759","FI078141","FI-HCI-00441759"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441760","FI078140","FI-HCI-00441760"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441761","FI078139","FI-HCI-00441761"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441762","FI078138","FI-HCI-00441762"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441763","FI078137","FI-HCI-00441763"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441764","FI078136","FI-HCI-00441764"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441765","FI078135","FI-HCI-00441765"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441766","FI078170","FI-HCI-00441766"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441767","FI078169","FI-HCI-00441767"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441768","FI078168","FI-HCI-00441768"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441769","FI078167","FI-HCI-00441769"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441770","FI078166","FI-HCI-00441770"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441771","FI078165","FI-HCI-00441771"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441772","FI078164","FI-HCI-00441772"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441773","FI078163","FI-HCI-00441773"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441774","","FI-HCI-00441774"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441775","FI078162","FI-HCI-00441775"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441776","FI078161","FI-HCI-00441776"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441777","FI078160","FI-HCI-00441777"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441778","FI078159","FI-HCI-00441778"
"data/Connection/CP1_20240604_BATCH_0001.csv","Multisheet","Yellow","FI-HCI-00441779","","FI-HCI-00441779"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441780","FI078178","FI-HCI-00441780"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441781","FI078177","FI-HCI-00441781"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441782","FI078176","FI-HCI-00441782"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441783","FI078175","FI-HCI-00441783"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441784","FI078174","FI-HCI-00441784"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441786","FI078173|FI-HCI-00441785","FI-HCI-00441786"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441787","FI078172","FI-HCI-00441787"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441788","FI078171","FI-HCI-00441788"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441789","FI078192","FI-HCI-00441789"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441790","FI078191","FI-HCI-00441790"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441791","FI078190","FI-HCI-00441791"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441792","FI078189","FI-HCI-00441792"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441793","FI078188","FI-HCI-00441793"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441794","FI078187","FI-HCI-00441794"
"data/Connection/CP1_20240604_BATCH_0001.csv","","","FI-HCI-00441795","FI078186","FI-HCI-00441795"
